,book_id,RGB1,HSV1,RGB2,HSV2,RGB3,HSV3
19,18190201,"(241, 229, 205)","(20, 38, 241)","(115, 91, 74)","(12, 91, 115)","(192, 156, 126)","(14, 88, 192)"
20,20575434,"(6, 11, 22)","(111, 185, 22)","(35, 75, 100)","(102, 166, 100)","(116, 179, 192)","(95, 101, 192)"
21,19156898,"(119, 171, 165)","(87, 78, 171)","(84, 79, 93)","(131, 38, 93)","(231, 220, 197)","(20, 38, 231)"
22,7783920,"(62, 43, 33)","(10, 119, 62)","(123, 121, 132)","(125, 21, 132)","(228, 227, 227)","(0, 1, 228)"
23,17138137,"(52, 162, 159)","(89, 173, 162)","(218, 189, 142)","(19, 89, 218)","(87, 58, 45)","(9, 123, 87)"
24,15944406,"(37, 43, 35)","(53, 47, 43)","(136, 131, 108)","(25, 53, 136)","(222, 209, 177)","(21, 52, 222)"
25,13438677,"(149, 117, 114)","(3, 60, 149)","(71, 54, 56)","(176, 61, 71)","(223, 208, 173)","(21, 57, 223)"
26,11737313,"(193, 185, 104)","(27, 118, 193)","(38, 53, 45)","(74, 72, 53)","(65, 189, 169)","(85, 167, 189)"
27,14781201,"(214, 152, 28)","(20, 222, 214)","(238, 236, 229)","(23, 10, 238)","(46, 39, 30)","(17, 89, 46)"
28,13262061,"(104, 141, 175)","(104, 103, 175)","(150, 184, 207)","(102, 70, 207)","(10, 16, 25)","(108, 153, 25)"
29,10637959,"(230, 214, 229)","(152, 18, 230)","(186, 149, 175)","(159, 51, 186)","(83, 52, 85)","(148, 99, 85)"
30,7197913,"(111, 76, 51)","(13, 138, 111)","(209, 162, 110)","(16, 121, 209)","(98, 113, 128)","(105, 60, 128)"
31,77390,"(211, 221, 211)","(60, 12, 221)","(177, 159, 90)","(24, 125, 177)","(76, 60, 49)","(12, 91, 76)"
32,180617,"(8, 173, 178)","(91, 244, 178)","(232, 139, 11)","(17, 243, 232)","(230, 237, 232)","(69, 8, 237)"
33,11192642,"(35, 47, 57)","(104, 98, 57)","(134, 118, 80)","(21, 103, 134)","(200, 195, 188)","(18, 15, 200)"
34,6310,"(221, 174, 71)","(21, 173, 221)","(102, 57, 96)","(154, 113, 102)","(243, 223, 215)","(9, 29, 243)"
35,24612624,"(252, 251, 251)","(0, 1, 252)","(73, 115, 137)","(100, 119, 137)","(234, 129, 47)","(13, 204, 234)"
36,116494,"(181, 69, 18)","(9, 230, 181)","(212, 168, 32)","(23, 217, 212)","(213, 143, 123)","(7, 108, 213)"
37,2998,"(161, 123, 79)","(16, 130, 161)","(38, 49, 27)","(45, 114, 49)","(222, 205, 184)","(17, 44, 222)"
38,233818,"(187, 198, 154)","(38, 57, 198)","(232, 231, 197)","(29, 38, 232)","(138, 115, 69)","(20, 128, 138)"
39,18222716,"(217, 228, 221)","(71, 12, 228)","(166, 178, 158)","(48, 29, 178)","(99, 116, 92)","(51, 53, 116)"
40,140225,"(229, 153, 108)","(11, 135, 229)","(170, 103, 82)","(7, 132, 170)","(250, 208, 152)","(17, 100, 250)"
41,125553,"(56, 55, 90)","(121, 99, 90)","(190, 11, 117)","(162, 240, 190)","(213, 175, 86)","(21, 152, 213)"
42,4881647,"(209, 234, 245)","(99, 37, 245)","(202, 191, 209)","(138, 22, 209)","(186, 111, 126)","(174, 103, 186)"
43,17165875,"(230, 229, 199)","(29, 34, 230)","(163, 142, 103)","(20, 94, 163)","(40, 37, 26)","(24, 89, 40)"
44,16101018,"(252, 252, 246)","(30, 6, 252)","(228, 223, 206)","(23, 25, 228)","(173, 140, 83)","(19, 133, 173)"
45,9822,"(104, 186, 214)","(98, 131, 214)","(26, 49, 37)","(74, 120, 49)","(101, 123, 94)","(53, 60, 123)"
46,3980,"(233, 231, 228)","(18, 5, 233)","(160, 156, 155)","(6, 8, 160)","(78, 70, 74)","(165, 26, 78)"
47,13531024,"(3, 4, 6)","(110, 128, 6)","(188, 171, 103)","(24, 115, 188)","(82, 85, 76)","(40, 27, 85)"
48,138070,"(178, 50, 35)","(3, 205, 178)","(84, 75, 62)","(18, 67, 84)","(168, 142, 117)","(15, 77, 168)"
49,420282,"(63, 65, 61)","(45, 16, 65)","(139, 134, 117)","(23, 40, 139)","(249, 248, 247)","(15, 2, 249)"
50,23617,"(3, 3, 3)","(0, 0, 3)","(93, 93, 93)","(0, 0, 93)","(234, 234, 234)","(0, 0, 234)"
51,38709,"(196, 170, 104)","(22, 120, 196)","(184, 92, 56)","(8, 177, 184)","(72, 68, 121)","(122, 112, 121)"
52,1852,"(71, 57, 53)","(7, 65, 71)","(140, 115, 114)","(1, 47, 140)","(209, 213, 222)","(111, 15, 222)"
53,20878809,"(237, 210, 66)","(25, 184, 237)","(46, 42, 35)","(19, 61, 46)","(239, 245, 246)","(94, 7, 246)"
54,2839,"(92, 76, 53)","(18, 108, 92)","(193, 177, 90)","(25, 136, 193)","(239, 233, 189)","(26, 53, 239)"
55,13510287,"(127, 201, 229)","(98, 114, 229)","(39, 41, 43)","(105, 24, 43)","(250, 251, 251)","(90, 1, 251)"
56,1013383,"(47, 67, 30)","(46, 141, 67)","(185, 204, 49)","(34, 194, 204)","(154, 230, 222)","(87, 84, 230)"
57,254596,"(237, 212, 162)","(20, 81, 237)","(185, 136, 107)","(11, 108, 185)","(83, 91, 82)","(57, 25, 91)"
58,84369,"(59, 40, 28)","(12, 134, 59)","(134, 84, 54)","(11, 152, 134)","(191, 166, 123)","(19, 91, 191)"
59,24178,"(239, 241, 230)","(35, 12, 241)","(168, 172, 113)","(32, 87, 172)","(97, 74, 51)","(15, 121, 97)"
60,65111,"(171, 203, 182)","(70, 40, 203)","(219, 186, 131)","(19, 102, 219)","(53, 96, 85)","(82, 114, 96)"
61,297792,"(235, 209, 160)","(20, 81, 235)","(104, 100, 78)","(25, 64, 104)","(135, 151, 148)","(84, 27, 151)"
62,172327,"(240, 203, 141)","(19, 105, 240)","(93, 97, 97)","(90, 11, 97)","(211, 113, 101)","(3, 133, 211)"
63,65119,"(237, 206, 152)","(19, 91, 237)","(141, 128, 134)","(166, 24, 141)","(91, 75, 69)","(8, 62, 91)"
64,16052012,"(249, 240, 214)","(22, 36, 249)","(190, 165, 96)","(22, 126, 190)","(65, 54, 32)","(20, 129, 65)"
65,25937866,"(32, 132, 181)","(100, 210, 181)","(245, 213, 80)","(24, 172, 245)","(183, 197, 212)","(106, 35, 212)"
66,22098550,"(231, 228, 212)","(25, 21, 231)","(40, 32, 26)","(13, 89, 40)","(150, 127, 95)","(17, 93, 150)"
67,22718727,"(21, 34, 41)","(101, 124, 41)","(92, 122, 127)","(94, 70, 127)","(200, 206, 198)","(53, 10, 206)"
68,36638,"(37, 25, 22)","(6, 103, 37)","(154, 66, 59)","(2, 157, 154)","(234, 232, 230)","(15, 4, 234)"
69,225038,"(249, 250, 250)","(90, 1, 250)","(191, 181, 181)","(0, 13, 191)","(127, 109, 104)","(7, 46, 127)"
70,34268,"(77, 83, 98)","(111, 55, 98)","(46, 38, 41)","(169, 44, 46)","(147, 149, 158)","(115, 18, 158)"
71,83369,"(248, 243, 219)","(25, 30, 248)","(171, 167, 136)","(27, 52, 171)","(111, 97, 63)","(21, 110, 111)"
72,2921082,"(98, 130, 180)","(108, 116, 180)","(77, 80, 103)","(117, 64, 103)","(159, 188, 219)","(106, 70, 219)"
73,28195,"(73, 87, 80)","(75, 41, 87)","(129, 145, 150)","(97, 36, 150)","(181, 141, 60)","(20, 170, 181)"
74,111429,"(63, 31, 25)","(5, 154, 63)","(125, 104, 77)","(17, 98, 125)","(201, 192, 162)","(23, 49, 201)"
75,37187,"(53, 53, 42)","(30, 53, 53)","(180, 176, 149)","(26, 44, 180)","(115, 112, 91)","(26, 53, 115)"
76,125581,"(79, 79, 98)","(120, 49, 98)","(38, 150, 202)","(99, 207, 202)","(166, 180, 190)","(103, 32, 190)"
77,236093,"(180, 174, 80)","(28, 142, 180)","(112, 101, 43)","(25, 157, 112)","(246, 229, 167)","(24, 82, 246)"
78,29563587,"(163, 99, 75)","(8, 138, 163)","(72, 24, 15)","(5, 202, 72)","(233, 201, 165)","(16, 74, 233)"
79,6327,"(33, 92, 162)","(106, 203, 162)","(117, 165, 140)","(74, 74, 165)","(238, 119, 87)","(6, 162, 238)"
80,35669801,"(29, 58, 46)","(78, 127, 58)","(125, 130, 110)","(38, 39, 130)","(243, 239, 229)","(21, 15, 243)"
81,23735067,"(247, 249, 246)","(50, 3, 249)","(208, 212, 203)","(43, 11, 212)","(151, 144, 126)","(22, 42, 151)"
82,25785644,"(246, 232, 198)","(21, 50, 246)","(214, 180, 153)","(13, 73, 214)","(208, 105, 53)","(10, 190, 208)"
83,26396195,"(240, 10, 10)","(0, 244, 240)","(246, 241, 239)","(9, 7, 246)","(77, 47, 44)","(3, 109, 77)"
84,28503853,"(177, 202, 208)","(96, 38, 208)","(137, 174, 180)","(94, 61, 180)","(38, 54, 58)","(96, 88, 58)"
85,26075973,"(250, 250, 250)","(0, 0, 250)","(243, 141, 77)","(12, 174, 243)","(42, 179, 224)","(97, 207, 224)"
86,28473874,"(216, 170, 140)","(12, 90, 216)","(179, 161, 140)","(16, 56, 179)","(93, 81, 63)","(18, 82, 93)"
87,25819506,"(239, 222, 190)","(20, 52, 239)","(189, 143, 120)","(10, 93, 189)","(100, 63, 96)","(153, 94, 100)"
88,22718809,"(169, 151, 163)","(160, 27, 169)","(206, 213, 234)","(113, 31, 234)","(98, 67, 77)","(170, 81, 98)"
89,13477819,"(95, 109, 113)","(97, 41, 113)","(18, 19, 22)","(113, 46, 22)","(231, 237, 237)","(90, 6, 237)"
90,18651970,"(26, 28, 25)","(50, 27, 28)","(101, 92, 62)","(23, 98, 101)","(174, 163, 112)","(25, 91, 174)"
91,19480623,"(61, 49, 77)","(133, 93, 77)","(110, 97, 119)","(138, 47, 119)","(201, 197, 207)","(132, 12, 207)"
92,27242442,"(82, 83, 119)","(119, 79, 119)","(129, 131, 170)","(119, 62, 170)","(229, 214, 204)","(12, 28, 229)"
93,28686880,"(224, 225, 227)","(110, 3, 227)","(127, 65, 72)","(177, 124, 127)","(177, 159, 163)","(173, 26, 177)"
94,25785760,"(141, 190, 223)","(102, 94, 223)","(197, 228, 244)","(100, 49, 244)","(123, 134, 103)","(41, 59, 134)"
95,28250952,"(42, 48, 75)","(115, 112, 75)","(250, 246, 239)","(19, 11, 250)","(184, 152, 114)","(16, 97, 184)"
96,25817074,"(38, 49, 54)","(99, 76, 54)","(63, 118, 135)","(97, 136, 135)","(222, 226, 209)","(37, 19, 226)"
97,22504710,"(24, 31, 41)","(108, 106, 41)","(92, 111, 138)","(108, 85, 138)","(186, 198, 201)","(96, 19, 201)"
98,31159611,"(233, 229, 214)","(24, 21, 233)","(190, 182, 134)","(26, 75, 190)","(142, 142, 77)","(30, 117, 142)"
99,18012467,"(199, 195, 155)","(27, 56, 199)","(149, 128, 90)","(19, 101, 149)","(104, 40, 34)","(3, 172, 104)"
100,6659537,"(18, 49, 65)","(100, 184, 65)","(66, 98, 111)","(99, 103, 111)","(161, 184, 193)","(98, 42, 193)"
101,11233988,"(241, 232, 207)","(22, 36, 241)","(79, 57, 39)","(14, 129, 79)","(176, 147, 108)","(17, 99, 176)"
102,22875394,"(49, 40, 55)","(138, 70, 55)","(151, 114, 126)","(170, 62, 151)","(221, 205, 211)","(169, 18, 221)"
103,4948,"(249, 249, 243)","(30, 6, 249)","(41, 128, 33)","(57, 189, 128)","(168, 139, 91)","(19, 117, 168)"
104,10893214,"(46, 38, 34)","(10, 67, 46)","(128, 98, 66)","(15, 124, 128)","(166, 164, 163)","(10, 5, 166)"
105,18635000,"(22, 34, 31)","(83, 90, 34)","(83, 106, 108)","(92, 59, 108)","(202, 203, 170)","(31, 41, 203)"
106,8309278,"(191, 174, 131)","(22, 80, 191)","(209, 199, 170)","(22, 48, 209)","(240, 238, 226)","(26, 15, 240)"
107,6319,"(154, 220, 228)","(93, 83, 228)","(240, 212, 189)","(14, 54, 240)","(71, 93, 146)","(111, 131, 146)"
108,84981,"(251, 229, 44)","(27, 210, 251)","(138, 62, 24)","(10, 211, 138)","(212, 159, 33)","(21, 215, 212)"
109,6345760,"(35, 63, 67)","(94, 122, 67)","(62, 102, 110)","(95, 111, 110)","(129, 157, 150)","(83, 45, 157)"
110,12466602,"(58, 191, 226)","(96, 190, 226)","(13, 11, 13)","(150, 39, 13)","(248, 250, 250)","(90, 2, 250)"
111,277191,"(58, 71, 44)","(44, 97, 71)","(124, 104, 78)","(17, 95, 124)","(187, 177, 148)","(22, 53, 187)"
112,139987,"(107, 78, 94)","(163, 69, 107)","(140, 105, 108)","(177, 64, 140)","(212, 176, 135)","(16, 93, 212)"
113,18295854,"(53, 55, 65)","(115, 47, 65)","(107, 138, 149)","(98, 72, 149)","(205, 219, 216)","(84, 16, 219)"
114,18754759,"(181, 111, 67)","(12, 161, 181)","(39, 50, 65)","(107, 102, 65)","(203, 198, 194)","(13, 11, 203)"
115,150037,"(205, 179, 138)","(18, 83, 205)","(99, 100, 88)","(33, 31, 100)","(35, 47, 47)","(90, 65, 47)"
116,131123,"(240, 204, 146)","(19, 100, 240)","(84, 81, 79)","(12, 15, 84)","(138, 137, 122)","(28, 30, 138)"
117,125332,"(194, 176, 56)","(26, 181, 194)","(100, 62, 50)","(7, 128, 100)","(238, 228, 210)","(19, 30, 238)"
118,125337,"(57, 68, 77)","(104, 66, 77)","(199, 87, 132)","(168, 144, 199)","(190, 178, 199)","(137, 27, 199)"
119,3008,"(29, 18, 18)","(0, 97, 29)","(235, 234, 227)","(26, 9, 235)","(123, 97, 83)","(11, 83, 123)"
120,156970,"(38, 28, 16)","(16, 148, 38)","(63, 89, 72)","(70, 74, 89)","(198, 197, 84)","(30, 147, 198)"
121,16650266,"(42, 154, 97)","(75, 185, 154)","(165, 59, 44)","(4, 187, 165)","(200, 205, 149)","(33, 70, 205)"
122,15945864,"(252, 242, 202)","(24, 51, 252)","(228, 149, 51)","(17, 198, 228)","(148, 68, 14)","(12, 231, 148)"
123,11594337,"(22, 34, 32)","(85, 90, 34)","(81, 105, 108)","(93, 64, 108)","(202, 197, 150)","(27, 66, 202)"
124,10806008,"(12, 34, 41)","(97, 180, 41)","(67, 114, 116)","(91, 108, 116)","(189, 170, 121)","(22, 92, 189)"
125,30201160,"(244, 236, 50)","(29, 203, 244)","(206, 192, 60)","(27, 181, 206)","(138, 188, 79)","(44, 148, 188)"
126,22313641,"(233, 239, 244)","(104, 11, 244)","(170, 164, 162)","(8, 12, 170)","(21, 94, 144)","(102, 218, 144)"
127,16250904,"(246, 246, 240)","(30, 6, 246)","(214, 181, 55)","(24, 189, 214)","(121, 132, 127)","(76, 21, 132)"
128,25689022,"(246, 245, 238)","(26, 8, 246)","(169, 168, 138)","(29, 47, 169)","(113, 100, 72)","(20, 93, 113)"
129,65118,"(16, 14, 17)","(140, 45, 17)","(159, 142, 115)","(18, 71, 159)","(57, 139, 228)","(106, 191, 228)"
130,49116,"(127, 122, 134)","(133, 23, 134)","(202, 147, 132)","(6, 88, 202)","(68, 97, 94)","(87, 76, 97)"
131,13594586,"(191, 174, 135)","(21, 75, 191)","(211, 200, 171)","(22, 48, 211)","(243, 239, 225)","(23, 19, 243)"
132,7971302,"(29, 31, 33)","(105, 31, 33)","(85, 90, 98)","(108, 34, 98)","(156, 146, 139)","(12, 28, 156)"
133,6687,"(4, 88, 167)","(105, 249, 167)","(91, 111, 172)","(113, 120, 172)","(181, 171, 171)","(0, 14, 181)"
134,23302416,"(144, 197, 230)","(102, 95, 230)","(250, 248, 229)","(27, 21, 250)","(51, 47, 42)","(17, 45, 51)"
135,1918702,"(179, 56, 10)","(8, 241, 179)","(43, 28, 17)","(13, 154, 43)","(170, 148, 92)","(22, 117, 170)"
136,18812106,"(24, 18, 16)","(8, 85, 24)","(193, 210, 218)","(100, 29, 218)","(90, 92, 93)","(100, 8, 93)"
137,19085562,"(115, 186, 189)","(91, 100, 189)","(71, 111, 127)","(99, 112, 127)","(223, 232, 225)","(67, 10, 232)"
138,18693363,"(230, 233, 237)","(107, 8, 237)","(66, 80, 49)","(44, 99, 80)","(206, 120, 135)","(175, 106, 206)"
139,77270,"(183, 191, 204)","(109, 26, 204)","(145, 142, 123)","(26, 39, 145)","(82, 79, 63)","(25, 59, 82)"
140,24968392,"(81, 82, 58)","(31, 75, 82)","(180, 176, 137)","(27, 61, 180)","(36, 89, 141)","(105, 190, 141)"
141,20706320,"(111, 38, 29)","(3, 188, 111)","(141, 110, 75)","(16, 119, 141)","(208, 186, 106)","(24, 125, 208)"
142,17722973,"(47, 35, 69)","(131, 126, 69)","(109, 87, 123)","(138, 75, 123)","(191, 164, 186)","(156, 36, 191)"
143,11607446,"(36, 73, 70)","(88, 129, 73)","(156, 140, 84)","(23, 118, 156)","(136, 189, 188)","(89, 72, 189)"
144,1154167,"(31, 20, 13)","(12, 148, 31)","(115, 92, 71)","(14, 98, 115)","(204, 184, 160)","(16, 55, 204)"
145,563901,"(220, 129, 40)","(15, 209, 220)","(86, 58, 40)","(12, 136, 86)","(224, 190, 156)","(15, 77, 224)"
146,267972,"(63, 74, 70)","(79, 38, 74)","(109, 149, 162)","(97, 83, 162)","(197, 120, 65)","(13, 171, 197)"
147,277190,"(82, 83, 73)","(33, 31, 83)","(40, 40, 31)","(30, 57, 40)","(194, 184, 143)","(24, 67, 194)"
148,519048,"(142, 88, 80)","(4, 111, 142)","(84, 63, 59)","(5, 76, 84)","(191, 181, 147)","(23, 59, 191)"
149,6689,"(196, 89, 52)","(8, 187, 196)","(223, 149, 101)","(12, 140, 223)","(238, 222, 208)","(14, 32, 238)"
150,10425811,"(136, 98, 49)","(17, 163, 136)","(102, 58, 15)","(15, 218, 102)","(179, 156, 105)","(21, 105, 179)"
151,6668,"(243, 225, 127)","(25, 122, 243)","(158, 101, 62)","(12, 155, 158)","(251, 245, 216)","(25, 36, 251)"
152,132391,"(75, 131, 153)","(98, 130, 153)","(72, 99, 98)","(89, 70, 99)","(36, 39, 49)","(113, 68, 49)"
153,300946,"(223, 195, 189)","(5, 39, 223)","(165, 155, 193)","(128, 50, 193)","(82, 74, 99)","(130, 64, 99)"
154,232576,"(239, 239, 239)","(0, 0, 239)","(158, 184, 178)","(83, 36, 184)","(142, 68, 71)","(179, 133, 142)"
155,71370,"(41, 49, 106)","(116, 156, 106)","(80, 87, 61)","(38, 76, 87)","(115, 140, 167)","(106, 79, 167)"
156,23310699,"(32, 32, 46)","(120, 78, 46)","(84, 79, 116)","(124, 81, 116)","(162, 147, 174)","(137, 40, 174)"
157,21416421,"(71, 100, 157)","(110, 140, 157)","(196, 205, 200)","(73, 11, 205)","(184, 151, 99)","(18, 118, 184)"
158,20388087,"(247, 242, 224)","(23, 24, 247)","(169, 175, 145)","(36, 44, 175)","(107, 112, 75)","(34, 84, 112)"
159,17333265,"(145, 150, 91)","(33, 100, 150)","(50, 48, 15)","(28, 179, 50)","(238, 238, 226)","(30, 13, 238)"
160,224926,"(88, 70, 63)","(8, 72, 88)","(182, 94, 58)","(9, 174, 182)","(149, 128, 105)","(16, 75, 149)"
161,763588,"(137, 137, 45)","(30, 171, 137)","(219, 217, 193)","(28, 30, 219)","(19, 84, 7)","(55, 234, 84)"
162,26079602,"(12, 77, 144)","(105, 234, 144)","(214, 227, 236)","(102, 24, 236)","(197, 194, 48)","(29, 193, 197)"
163,2921431,"(58, 38, 37)","(1, 92, 58)","(174, 153, 133)","(15, 60, 174)","(106, 83, 77)","(6, 70, 106)"
164,297671,"(223, 191, 143)","(18, 91, 223)","(90, 91, 99)","(117, 23, 99)","(159, 146, 122)","(19, 59, 159)"
165,439173,"(152, 61, 48)","(4, 174, 152)","(198, 150, 119)","(12, 102, 198)","(245, 243, 236)","(23, 9, 245)"
166,20718289,"(23, 25, 28)","(108, 46, 28)","(84, 87, 91)","(107, 20, 91)","(219, 220, 221)","(105, 2, 221)"
167,15727792,"(245, 179, 51)","(20, 202, 245)","(75, 62, 35)","(20, 136, 75)","(220, 213, 201)","(19, 22, 220)"
168,31646,"(171, 99, 106)","(177, 107, 171)","(135, 60, 34)","(8, 191, 135)","(232, 203, 208)","(175, 32, 232)"
169,12107920,"(27, 77, 116)","(103, 196, 116)","(170, 191, 205)","(102, 44, 205)","(151, 56, 62)","(178, 160, 151)"
170,25937835,"(207, 218, 174)","(38, 51, 218)","(126, 121, 117)","(13, 18, 126)","(19, 19, 18)","(30, 13, 19)"
171,24820301,"(53, 61, 58)","(79, 33, 61)","(120, 129, 105)","(41, 47, 129)","(225, 207, 173)","(20, 59, 225)"
172,22443909,"(28, 30, 23)","(39, 60, 30)","(93, 94, 82)","(33, 33, 94)","(186, 186, 174)","(30, 16, 186)"
173,5861926,"(129, 29, 32)","(179, 198, 129)","(114, 104, 127)","(133, 46, 127)","(203, 181, 192)","(165, 28, 203)"
174,125564,"(38, 17, 15)","(3, 154, 38)","(167, 28, 50)","(175, 212, 167)","(151, 135, 83)","(23, 115, 151)"
175,335131,"(205, 179, 138)","(18, 83, 205)","(99, 100, 88)","(33, 31, 100)","(35, 47, 47)","(90, 65, 47)"
176,12065943,"(247, 246, 246)","(0, 1, 247)","(224, 218, 204)","(21, 23, 224)","(175, 172, 169)","(15, 9, 175)"
177,8725928,"(151, 110, 81)","(12, 118, 151)","(220, 194, 165)","(16, 64, 220)","(70, 38, 23)","(10, 171, 70)"
178,15991959,"(203, 186, 102)","(25, 127, 203)","(111, 166, 121)","(65, 84, 166)","(96, 67, 32)","(16, 170, 96)"
179,3173438,"(234, 236, 233)","(50, 3, 236)","(155, 153, 144)","(25, 18, 155)","(73, 66, 57)","(17, 56, 73)"
180,343002,"(251, 251, 250)","(30, 1, 251)","(187, 182, 163)","(24, 33, 187)","(121, 113, 102)","(17, 40, 121)"
181,342994,"(241, 242, 245)","(113, 4, 245)","(146, 141, 168)","(126, 41, 168)","(98, 79, 92)","(159, 49, 98)"
182,97860,"(41, 43, 48)","(111, 37, 48)","(116, 122, 123)","(94, 15, 123)","(213, 222, 191)","(39, 36, 222)"
183,13547099,"(139, 76, 36)","(12, 189, 139)","(47, 53, 76)","(114, 97, 76)","(216, 196, 141)","(22, 89, 216)"
184,8521055,"(185, 206, 199)","(80, 26, 206)","(77, 89, 111)","(109, 78, 111)","(207, 84, 92)","(178, 152, 207)"
185,13591296,"(51, 42, 39)","(8, 60, 51)","(113, 80, 53)","(14, 135, 113)","(181, 125, 73)","(14, 152, 181)"
186,505304,"(44, 69, 52)","(70, 92, 69)","(217, 218, 178)","(31, 47, 218)","(120, 191, 221)","(99, 117, 221)"
187,22693811,"(135, 185, 103)","(48, 113, 185)","(248, 234, 133)","(26, 118, 248)","(192, 225, 156)","(44, 78, 225)"
188,16285053,"(12, 12, 10)","(30, 43, 12)","(212, 203, 154)","(25, 70, 212)","(142, 121, 93)","(17, 88, 142)"
189,15790852,"(9, 9, 10)","(120, 26, 10)","(231, 233, 207)","(32, 28, 233)","(163, 150, 115)","(22, 75, 163)"
190,13617210,"(162, 184, 189)","(96, 36, 189)","(246, 236, 191)","(25, 57, 246)","(159, 138, 80)","(22, 127, 159)"
191,7825557,"(9, 13, 23)","(111, 155, 23)","(49, 80, 134)","(109, 162, 134)","(132, 172, 192)","(100, 80, 192)"
192,7952209,"(33, 29, 28)","(6, 39, 33)","(102, 89, 84)","(8, 45, 102)","(180, 173, 169)","(11, 16, 180)"
193,6389704,"(54, 158, 166)","(92, 172, 166)","(23, 91, 99)","(93, 196, 99)","(138, 203, 211)","(93, 88, 211)"
194,6455548,"(174, 186, 107)","(35, 108, 186)","(54, 65, 37)","(42, 110, 65)","(197, 33, 24)","(2, 224, 197)"
195,6399392,"(252, 252, 252)","(0, 0, 252)","(164, 164, 190)","(120, 35, 190)","(66, 76, 128)","(115, 124, 128)"
196,460505,"(56, 114, 137)","(99, 151, 137)","(54, 52, 46)","(23, 38, 54)","(141, 144, 48)","(31, 170, 144)"
197,125542,"(137, 122, 164)","(131, 65, 164)","(83, 67, 85)","(147, 54, 85)","(157, 111, 79)","(12, 127, 157)"
198,125547,"(66, 55, 66)","(150, 42, 66)","(154, 82, 111)","(168, 119, 154)","(216, 160, 195)","(161, 66, 216)"
199,8044557,"(251, 230, 164)","(23, 88, 251)","(151, 172, 118)","(42, 80, 172)","(46, 46, 42)","(30, 22, 46)"
200,20893527,"(62, 74, 58)","(53, 55, 74)","(98, 142, 160)","(99, 99, 160)","(173, 154, 131)","(16, 62, 173)"
201,18812101,"(195, 177, 137)","(21, 76, 195)","(214, 203, 177)","(21, 44, 214)","(244, 240, 233)","(19, 11, 244)"
202,11254250,"(90, 170, 205)","(99, 143, 205)","(226, 228, 222)","(40, 7, 228)","(85, 70, 80)","(160, 45, 85)"
203,266904,"(248, 251, 243)","(41, 8, 251)","(194, 216, 230)","(102, 40, 230)","(143, 159, 165)","(98, 34, 165)"
204,109059,"(223, 79, 115)","(173, 165, 223)","(245, 195, 30)","(23, 224, 245)","(128, 97, 136)","(144, 73, 136)"
205,18079557,"(58, 61, 95)","(118, 99, 95)","(118, 130, 162)","(112, 69, 162)","(220, 224, 232)","(110, 13, 232)"
